first_name,last_name,company_name,address,city,county,postal,phone1,phone2,email,web,full_name,email_domain,city_length,is_gmail
Shanda,Lunger,Western Packing Co,2476 Marsh St,Markhouse Ward,Greater London,E17 8NP,01329-303595,01620-180931,slunger@gmail.com,http://www.westernpackingco.co.uk,Shanda Lunger,gmail.com,14,True
Viki,Humeniuk,Guldstrand Engineering Inc,8822 Trafalgar St,Yalding,Kent,ME18 6JE,01721-747819,01381-985978,vhumeniuk@gmail.com,http://www.guldstrandengineeringinc.co.uk,Viki Humeniuk,gmail.com,7,True
Domitila,Weissmann,"Ciocia, James A Esq",28 Berwick St,Moordown Ward,Bournemouth,BH9 1TT,01606-833878,01928-189722,domitila@gmail.com,http://www.ciociajamesaesq.co.uk,Domitila Weissmann,gmail.com,13,True
Ivan,Aronov,Center For Pediatrics,94 Regent St,Over Kellet,Lancashire,LA6 1DB,01478-392232,01410-877250,ivan@gmail.com,http://www.centerforpediatrics.co.uk,Ivan Aronov,gmail.com,11,True
Diego,Augle,Farmers Electric Co Op Inc,4 Peover St,Walcot Ward,Bath Avon,BA1 6EF,01275-397587,01933-666689,diego.augle@gmail.com,http://www.farmerselectriccoopinc.co.uk,Diego Augle,gmail.com,11,True
Peggy,Khov,"Goldberg, Stephen M Esq",328 Pallas St,Longford Ward,Greater Manchester,M32 8LJ,01619-237602,01648-417310,peggy.khov@gmail.com,http://www.goldbergstephenmesq.co.uk,Peggy Khov,gmail.com,13,True
Walton,Yuki,Best Wstrn Host Mtr Htl Palm,9 Waltham Rd,Yealmpton,Devon,PL8 2NS,01872-808403,01885-290666,wyuki@gmail.com,http://www.bestwstrnhostmtrhtlpalm.co.uk,Walton Yuki,gmail.com,9,True
Tony,Diazdeleon,Dilling Harris Inc,529 Llanrwst St,Southam,Gloucestershire,GL52 8TW,01765-102036,01877-593275,tony@gmail.com,http://www.dillingharrisinc.co.uk,Tony Diazdeleon,gmail.com,7,True
Mel,Picciuto,Avante Limited,8598 Rumney Rd,Hylands Ward,Essex,RM11 1QL,01885-270480,01268-443299,mel.picciuto@gmail.com,http://www.avantelimited.co.uk,Mel Picciuto,gmail.com,12,True
Tijuana,Machalek,"Schwartz, Thomas E Esq",1149 Highfield Rd #996,Fareham South Ward,Hampshire,PO14 9JJ,01242-532395,01336-686264,tijuana.machalek@gmail.com,http://www.schwartzthomaseesq.co.uk,Tijuana Machalek,gmail.com,18,True
Derrick,Dolloff,Proto Tek Manufacturing,236 Blantyre Rd,Everton Ward,Merseyside,L6 2EN,01982-734773,01619-554437,derrick_dolloff@gmail.com,http://www.prototekmanufacturing.co.uk,Derrick Dolloff,gmail.com,12,True
Alesia,Katie,Nelsons Trmt & Pest Cntrl Co,4 Covent Garden,Farnworth Ward,Greater Manchester,BL4 7AF,01333-436799,01240-614527,alesia_katie@gmail.com,http://www.nelsonstrmtpestcntrlco.co.uk,Alesia Katie,gmail.com,14,True
Celestina,Keeny,Bfg Federal Credit Union,9 Milton St,Consett North ED,County Durham,DH8 5LP,01877-379681,01600-463475,celestina_keeny@gmail.com,http://www.bfgfederalcreditunion.co.uk,Celestina Keeny,gmail.com,16,True
